,title,date,location,type,region,startTime,endTime,isDaytime,temperature,temperatureUnit,temperatureTrend,probabilityOfPrecipitation,dewpoint,relativeHumidity,windSpeed,windDirection,icon,shortForecast,detailedForecast
0,Glen Teriyaki,1/16/2024, Sea Monster Lounge,Music,Wallingford / Greenlake,2024-01-23T15:00:00-08:00,2024-01-23T18:00:00-08:00,True,51.0,F,falling,"{'unitCode': 'wmoUnit:percent', 'value': None}","{'unitCode': 'wmoUnit:degC', 'value': 8.333333333333334}","{'unitCode': 'wmoUnit:percent', 'value': 93}",7 to 10 mph,S,https://api.weather.gov/icons/land/day/bkn?size=medium,Partly Sunny,"Partly sunny. High near 51, with temperatures falling to around 49 in the afternoon. South wind 7 to 10 mph. New rainfall amounts less than a tenth of an inch possible."
1,Greta Matassa Sextet,1/16/2024, Dimitriou's Jazz Alley,Music,Downtown,2024-01-23T15:00:00-08:00,2024-01-23T18:00:00-08:00,True,51.0,F,,"{'unitCode': 'wmoUnit:percent', 'value': None}","{'unitCode': 'wmoUnit:degC', 'value': 7.777777777777778}","{'unitCode': 'wmoUnit:percent', 'value': 87}",7 to 10 mph,S,https://api.weather.gov/icons/land/day/sct?size=medium,Mostly Sunny,"Mostly sunny, with a high near 51. South wind 7 to 10 mph. New rainfall amounts less than a tenth of an inch possible."
2,Holding Absence,1/16/2024, Neumos,Music,Capitol Hill / Central District,2024-01-23T15:00:00-08:00,2024-01-23T18:00:00-08:00,True,51.0,F,falling,"{'unitCode': 'wmoUnit:percent', 'value': None}","{'unitCode': 'wmoUnit:degC', 'value': 7.777777777777778}","{'unitCode': 'wmoUnit:percent', 'value': 89}",7 to 10 mph,S,https://api.weather.gov/icons/land/day/sct?size=medium,Mostly Sunny,"Mostly sunny. High near 51, with temperatures falling to around 49 in the afternoon. South wind 7 to 10 mph. New rainfall amounts less than a tenth of an inch possible."
3,Nellie McKay,1/16/2024, The Triple Door,Music,Downtown,2024-01-23T15:00:00-08:00,2024-01-23T18:00:00-08:00,True,51.0,F,,"{'unitCode': 'wmoUnit:percent', 'value': None}","{'unitCode': 'wmoUnit:degC', 'value': 7.777777777777778}","{'unitCode': 'wmoUnit:percent', 'value': 87}",7 to 10 mph,S,https://api.weather.gov/icons/land/day/sct?size=medium,Mostly Sunny,"Mostly sunny, with a high near 51. South wind 7 to 10 mph. New rainfall amounts less than a tenth of an inch possible."
4,Amber Liu,1/17/2024, The Crocodile,Music,Downtown,2024-01-23T15:00:00-08:00,2024-01-23T18:00:00-08:00,True,51.0,F,falling,"{'unitCode': 'wmoUnit:percent', 'value': None}","{'unitCode': 'wmoUnit:degC', 'value': 7.777777777777778}","{'unitCode': 'wmoUnit:percent', 'value': 89}",10 mph,S,https://api.weather.gov/icons/land/day/bkn?size=medium,Partly Sunny,"Partly sunny. High near 51, with temperatures falling to around 49 in the afternoon. South wind around 10 mph. New rainfall amounts less than a tenth of an inch possible."
5,Disability Justice,1/17/2024, Town Hall Seattle,Readings & Lectures,Downtown,2024-01-23T15:00:00-08:00,2024-01-23T18:00:00-08:00,True,51.0,F,falling,"{'unitCode': 'wmoUnit:percent', 'value': None}","{'unitCode': 'wmoUnit:degC', 'value': 7.777777777777778}","{'unitCode': 'wmoUnit:percent', 'value': 89}",7 to 10 mph,S,https://api.weather.gov/icons/land/day/sct?size=medium,Mostly Sunny,"Mostly sunny. High near 51, with temperatures falling to around 49 in the afternoon. South wind 7 to 10 mph. New rainfall amounts less than a tenth of an inch possible."
6,Hughes Bros Presents,1/17/2024, Sea Monster Lounge,Music,Wallingford / Greenlake,2024-01-23T15:00:00-08:00,2024-01-23T18:00:00-08:00,True,51.0,F,falling,"{'unitCode': 'wmoUnit:percent', 'value': None}","{'unitCode': 'wmoUnit:degC', 'value': 8.333333333333334}","{'unitCode': 'wmoUnit:percent', 'value': 93}",7 to 10 mph,S,https://api.weather.gov/icons/land/day/bkn?size=medium,Partly Sunny,"Partly sunny. High near 51, with temperatures falling to around 49 in the afternoon. South wind 7 to 10 mph. New rainfall amounts less than a tenth of an inch possible."
7,sarya wu,1/17/2024, Chop Suey,Music,Capitol Hill / Central District,2024-01-23T15:00:00-08:00,2024-01-23T18:00:00-08:00,True,51.0,F,falling,"{'unitCode': 'wmoUnit:percent', 'value': None}","{'unitCode': 'wmoUnit:degC', 'value': 7.777777777777778}","{'unitCode': 'wmoUnit:percent', 'value': 89}",7 to 10 mph,S,https://api.weather.gov/icons/land/day/sct?size=medium,Mostly Sunny,"Mostly sunny. High near 51, with temperatures falling to around 49 in the afternoon. South wind 7 to 10 mph. New rainfall amounts less than a tenth of an inch possible."
8,The Sweet Lillies,1/17/2024, High Dive,Music,Fremont / Ballard,2024-01-23T15:00:00-08:00,2024-01-23T18:00:00-08:00,True,51.0,F,falling,"{'unitCode': 'wmoUnit:percent', 'value': None}","{'unitCode': 'wmoUnit:degC', 'value': 8.333333333333334}","{'unitCode': 'wmoUnit:percent', 'value': 93}",12 mph,S,https://api.weather.gov/icons/land/day/bkn?size=medium,Partly Sunny,"Partly sunny. High near 51, with temperatures falling to around 49 in the afternoon. South wind around 12 mph. New rainfall amounts less than a tenth of an inch possible."
9,Dinosaur Jr.,Now through 1/18/2024, The Neptune Theatre,Music,University District,2024-01-23T15:00:00-08:00,2024-01-23T18:00:00-08:00,True,51.0,F,falling,"{'unitCode': 'wmoUnit:percent', 'value': None}","{'unitCode': 'wmoUnit:degC', 'value': 8.333333333333334}","{'unitCode': 'wmoUnit:percent', 'value': 91}",7 to 10 mph,S,https://api.weather.gov/icons/land/day/bkn?size=medium,Partly Sunny,"Partly sunny. High near 51, with temperatures falling to around 49 in the afternoon. South wind 7 to 10 mph. New rainfall amounts less than a tenth of an inch possible."
